Partlist

Exported from BSC_mini.brd at 9/12/18 2:52 PM

EAGLE Version 7.7.0 Copyright (c) 1988-2016 CadSoft

Assembly variant: 

Part     Value                  Package                          Library             Position (mm)         Orientation

R802     4k7                    S_0805                           be_rcl              (60.6 42.2)           R270
R803     4k7                    S_0805                           be_rcl              (65.8 42.2)           R270
R804     330                    S_0805                           be_rcl              (63.2 42.2)           R270
R805     330                    S_0805                           be_rcl              (47.8 42.2)           R270
R806     330                    S_0805                           be_rcl              (50.4 42.2)           R270
R807     330                    S_0805                           be_rcl              (53 42.2)             R270
R1201    330                    S_0805                           be_rcl              (11.4 121.2)          R270
R1202    330                    S_0805                           be_rcl              (13.6 121.2)          R270
R1301    4k7                    S_0805                           be_rcl              (183.2 128.4)         R270
R1302    4k7                    S_0805                           be_rcl              (180.6 128.4)         R270
R1401    8k2                    S_0805                           be_rcl              (236.4 79.6)          R90
R1402    2k7                    S_0805                           be_rcl              (236.4 75.6)          R90
R1403    8k2                    S_0805                           be_rcl              (236.8 61)            R90
R1404    2k7                    S_0805                           be_rcl              (236.8 57)            R90
R1701    160                    S_0805                           be_rcl              (15 70)               R180
R1702    160                    S_0805                           be_rcl              (15 46)               R180
R1703    470                    S_0805                           be_rcl              (15 74)               R180
R1704    470                    S_0805                           be_rcl              (15 50)               R180
R1705    330                    S_0805                           be_rcl              (15 78)               R180
R1706    750                    S_0805                           be_rcl              (15 54)               R180
R1707    750                    S_0805                           be_rcl              (15 66)               R180
R1708    330                    S_0805                           be_rcl              (15 58)               R180
R1801    160                    S_0805                           be_rcl              (229 128.4)           R90
R1802    750                    S_0805                           be_rcl              (237 128.4)           R90
R1803    1M                     S_0805                           be_rcl              (189.4 128.4)         R270
R1804    1M                     S_0805                           be_rcl              (192 128.4)           R270
R1901    470                    S_0805                           be_rcl              (15 40)               R180
R1902    330                    S_0805                           be_rcl              (15 36)               R180
R2001    1M                     S_0805                           be_rcl              (31 49.2)             R90
R2101    470                    S_0805                           be_rcl              (268 96)              R0
R2102    470                    S_0805                           be_rcl              (268 26)              R0
R2103    330                    S_0805                           be_rcl              (268 101)             R180
R2104    330                    S_0805                           be_rcl              (268 31)              R180
R2105    160                    S_0805                           be_rcl              (268 111)             R0
R2106    160                    S_0805                           be_rcl              (268 41)              R0
R2107    750                    S_0805                           be_rcl              (268 116)             R0
R2108    750                    S_0805                           be_rcl              (268 46)              R0
R2109    160                    S_0805                           be_rcl              (268 106)             R0
R2110    160                    S_0805                           be_rcl              (268 36)              R0
R2111    750                    S_0805                           be_rcl              (286 111)             R180
R2112    750                    S_0805                           be_rcl              (286 41)              R180
R2201    160                    S_0805                           be_rcl              (268 121)             R0
R2202    160                    S_0805                           be_rcl              (268 51)              R0
R2203    160                    S_0805                           be_rcl              (268 126)             R0
R2204    160                    S_0805                           be_rcl              (268 56)              R0
R2205    160                    S_0805                           be_rcl              (268 131)             R0
R2206    160                    S_0805                           be_rcl              (268 61)              R0
R2207    160                    S_0805                           be_rcl              (268 136)             R0
R2208    160                    S_0805                           be_rcl              (268 66)              R0
R2301    2k7                    S_0805                           be_rcl              (240 93)              R0
R2302    2k7                    S_0805                           be_rcl              (240 98)              R0
R2303    2k7                    S_0805                           be_rcl              (240 103)             R0
R2304    330                    S_0805                           be_rcl              (268 75)              R180
R2305    2k7                    S_0805                           be_rcl              (258 86)              R180
R2306    160                    S_0805                           be_rcl              (268 80)              R0
R2307    2k7                    S_0805                           be_rcl              (258 91)              R0
R2308    470                    S_0805                           be_rcl              (268 90)              R0
R2309    160                    S_0805                           be_rcl              (268 85)              R0
R2401    2k7                    S_0805                           be_rcl              (246 26)              R0
R2402    2k7                    S_0805                           be_rcl              (246 31)              R0
R2403    2k7                    S_0805                           be_rcl              (246 36)              R0
R2404    330                    S_0805                           be_rcl              (268 4)               R180
R2405    2k7                    S_0805                           be_rcl              (258 15)              R180
R2406    160                    S_0805                           be_rcl              (268 9)               R0
R2407    2k7                    S_0805                           be_rcl              (258 20)              R0
R2408    160                    S_0805                           be_rcl              (268 14)              R0
R2409    470                    S_0805                           be_rcl              (268 19)              R0
RN301    10k                    S_1206_4X                        be_rcl              (150.8 36.8)          R0
RN302    10k                    S_1206_4X                        be_rcl              (160.2 36.8)          R0
RN501    10k                    S_1206_4X                        be_rcl              (11.45 83.94)         R0
RN1201   10k                    S_1206_4X                        be_rcl              (11.63 106.74)        R0
RN1901   100                    T_SIL8                           be_rcl              (169 85)              R270
RN1902   100                    T_SIL8                           be_rcl              (164 85)              R270
RN1903   100                    T_SIL8                           be_rcl              (159.6 61.6)          R270
RN1904   100                    T_SIL8                           be_rcl              (145.6 28.4)          R270
S1801                           T_PUSH_BUTTON_6X6                be_switch           (208 133)             R270
S1802                           T_PUSH_BUTTON_6X6                be_switch           (220 133)             R270
T301     DMG3420U               S_SOT23                          be_transistor       (152.6 33)            R270
T302     DMG3420U               S_SOT23                          be_transistor       (152.6 27.2)          R270
T303     DMG3420U               S_SOT23                          be_transistor       (152.6 21.2)          R270
T304     DMG3420U               S_SOT23                          be_transistor       (162.2 33)            R270
T305     DMG3420U               S_SOT23                          be_transistor       (162.2 27.2)          R270
T306     DMG3420U               S_SOT23                          be_transistor       (162.2 21.2)          R270
T401     DMG3420U               S_SOT23                          be_transistor       (201.6 119.6)         R90
T1901    DMG3420U               S_SOT23                          be_transistor       (20 40)               R90
